Site,Samples,RMSE,MAE,MAPE (%),R2
2908,488,0.101139,0.075241,26.5327,0.713182
1404,488,0.101141,0.082703,59.6606,0.804458
1725,488,0.101188,0.085966,195.7612,0.804859
3438,488,0.101216,0.078957,36.9507,0.802487
4349,488,0.101219,0.084297,210.767,0.81734
5414,488,0.101274,0.080318,87.0937,0.815991
5114,488,0.101284,0.087698,227.7073,0.792843
3188,488,0.101305,0.076957,71.4069,0.788077
5028,488,0.101317,0.086576,164.4113,0.81649
5658,488,0.101324,0.090507,388.8232,0.803456
4990,488,0.101337,0.085742,121.7356,0.821566
2400,488,0.101363,0.078016,30.8924,0.579522
383,488,0.101368,0.079877,511.2124,0.81236
8520,488,0.101368,0.081065,60.9553,0.813307
32101,488,0.101402,0.081215,111.8191,0.775835
1333,488,0.101411,0.082766,111.7867,0.814001
6657,488,0.101417,0.08697,351.209,0.786468
1723,488,0.101441,0.079982,58.7912,0.757839
4487,488,0.101456,0.082394,93.2272,0.809314
5045,488,0.101458,0.08709,218.2316,0.812678
5316,488,0.10148,0.081074,256.9014,0.794407
32058,488,0.101487,0.087165,265.8161,0.816014
3672,488,0.101491,0.081356,163.9167,0.780162
3950,488,0.10156,0.087457,387.5069,0.810161
3872,488,0.101568,0.08596,237.7405,0.818051
1737,488,0.101599,0.082477,55.9403,0.802078
6267,488,0.101711,0.081699,475.2152,0.75106
3467,488,0.101732,0.084357,173.1575,0.807793
4133,488,0.101803,0.082779,252.0625,0.806353
32048,488,0.101821,0.086083,137.0117,0.807961
1715,488,0.10183,0.082324,125.7782,0.822507
2875,488,0.10186,0.080018,48.968,0.726275
250,488,0.101875,0.089865,323.6054,0.794229
1799,488,0.101893,0.080372,90.1697,0.820035
2652,488,0.101961,0.085337,75.6148,0.806897
6411,488,0.101966,0.084748,287.1614,0.785881
4216,488,0.101979,0.073618,95.019,0.692953
4518,488,0.101979,0.081303,79.7383,0.822436
4373,488,0.101995,0.083661,61.6546,0.81246
5475,488,0.102014,0.082646,103.7277,0.812875
1939,488,0.102024,0.085895,303.0414,0.824343
952,488,0.102024,0.085693,255.3334,0.784721
3823,488,0.10205,0.073827,20.2026,0.611917
258,488,0.102072,0.078056,60.9169,0.78879
817,488,0.10208,0.087621,628.5522,0.706005
2291,488,0.102086,0.084148,549.9546,0.74958
5861,488,0.102139,0.084663,170.0575,0.794847
1576,488,0.102142,0.080822,45.1381,0.765551
5453,488,0.102179,0.086372,260.722,0.815756
4500,488,0.102197,0.082553,64.7912,0.815015
2967,488,0.102217,0.082446,100.0875,0.793265
1785,488,0.102283,0.084137,159.8431,0.809279
3544,488,0.102311,0.081703,46.1782,0.798259
2294,488,0.102328,0.086938,172.0356,0.497448
2531,488,0.10233,0.081473,227.5396,0.818158
3709,488,0.102331,0.086371,96.5207,0.824199
5058,488,0.10234,0.086358,508.9386,0.650897
6247,488,0.102356,0.08305,444.8121,0.681986
1018,488,0.102362,0.088207,173.7697,0.822925
1954,488,0.102365,0.084977,209.5107,0.801616
